Reaction,Level 1: Baseline GEM_FVi,Level 1: Baseline GEM_FVR,Level 2: Single Enzyme_FVi,Level 2: Single Enzyme_FVR,Level 3a: + Isoenzymes_FVi,Level 3a: + Isoenzymes_FVR,Level 3b: + Complexes_FVi,Level 3b: + Complexes_FVR,Level 3c: + Promiscuous_FVi,Level 3c: + Promiscuous_FVR,Level 4: All Constraints_FVi,Level 4: All Constraints_FVR,Level 5: Post-Tuned_FVi,Level 5: Post-Tuned_FVR
2AGPG180tipp,0.9999999999785537,4.662799999998949,0.0,0.0,0.5604456472982081,1.27503150373404e-10,0.0,0.0,0.9999979492069432,4.87615240311255e-05,0.9999999999977058,43.5894625397984,0.9999986967388097,7.67304899543166e-05
CH4t2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGAM1PPpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDMO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERASr,0.999999999982843,5.828499999998948,1.9505274953938168,2.05204742087517e-10,0.6410650602592276,1.7860202206065902e-10,1.9505274953938168,2.05204742087517e-10,0.9999986663298522,7.49809589706274e-05,0.9999999999981647,54.486828174748034,0.9999989564021677,9.58222531153297e-05
EX_glu__L_e,0.9999999999227932,1.2952222222219356,0.0,0.0,0.0,0.0,0.0,0.0,0.9999994194505547,0.0001722505167439,0.9999999999911882,11.348378145399048,0.9999995955715758,0.0002472624414256
AGMtex,-1.0000000001190272,0.8401441441440153,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000023264876345,4.2983350162532e-05,0.0,0.0,-1.000001781780705,5.61237294230994e-05
HDCAtexi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5DGLCNR,0.999999999998436,63.94101578314593,0.0,0.0,0.9661833652846936,2.8571245288561203e-09,0.0,0.0,0.9999999662636014,0.0029641574360378,0.9999999999997915,479.596914218221,0.9999999616846815,0.002609922089853
AKGDH,0.9999999999923634,13.094861590502454,-4.3666290204286967e-10,5.213809828319427e-09,3.800479249375304e-10,4.5378198976209205e-09,-4.3666290204286967e-10,5.213809828319427e-09,0.9999990163064784,0.0001016575787318,0.9999999999982492,57.11873887818631,0.9999995661141219,0.0002304752508718
